"dt_venda";"nm_localidade_estado";"tp_produtor_canal_aquisicao";"tp_tamanho_produtor";"nm_evento_classificacao_negocio";"vr_venda";"qt_ingresso";"qt_evento";"qt_produtor";"qt_ingresso_por_evento";"qt_evento_por_produtor";"vr_medio_ingresso"
2033-02-01 00:00:00.000;ACRE;DIRETO;PEQUENO;CORPORATIVO;218,87;2;1;1;2;1;152,42
2033-02-01 00:00:00.000;ACRE;DIRETO;PEQUENO;ENTRETENIMENTO;906,49;40;4;4;10;1;24,34
2033-02-01 00:00:00.000;ACRE;DIRETO;PEQUENO;OUTROS;52,71;1;1;1;1;1;9,31
2033-02-01 00:00:00.000;ACRE;MIDIA PAGA;PEQUENO;CORPORATIVO;245,64;2;1;1;2;1;225,04
2033-02-01 00:00:00.000;ACRE;MIDIA PAGA;PEQUENO;ENTRETENIMENTO;2.362,76;98;5;5;19,6;1;23,6
2033-02-01 00:00:00.000;ACRE;MIDIA PAGA;PEQUENO;OUTROS;419,17;12;1;1;12;1;33,8
2033-02-01 00:00:00.000;ACRE;MIDIA SOCIAL;PEQUENO;CORPORATIVO;270,52;2;1;1;2;1;123,42
2033-02-01 00:00:00.000;ACRE;MIDIA SOCIAL;PEQUENO;ENTRETENIMENTO;908,86;38;5;5;7,6;1;27,31
2033-02-01 00:00:00.000;ACRE;MIDIA SOCIAL;PEQUENO;OUTROS;137,54;3;1;1;3;1;23,86
2033-02-01 00:00:00.000;ACRE;NAO INFORMADO;PEQUENO;ENTRETENIMENTO;283,03;9;3;3;3;1;26,68
2033-02-01 00:00:00.000;ACRE;NAO INFORMADO;PEQUENO;OUTROS;59,34;3;1;1;3;1;19,36
2033-02-01 00:00:00.000;ACRE;PESQUISA ORGANICA;PEQUENO;CORPORATIVO;692,92;5;1;1;5;1;105,57
2033-02-01 00:00:00.000;ACRE;PESQUISA ORGANICA;PEQUENO;ENTRETENIMENTO;1.589,2;72;6;6;12;1;23,87
2033-02-01 00:00:00.000;ACRE;PESQUISA ORGANICA;PEQUENO;OUTROS;169,43;5;1;1;5;1;16,83
2033-02-01 00:00:00.000;ALAGOAS;DIRETO;GRANDE;ENTRETENIMENTO;26.661,31;98;3;2;32,67;1,5;288,52
2033-02-01 00:00:00.000;ALAGOAS;DIRETO;GRANDE;NÃO CLASSIFICADO;2.000,5;53;1;1;53;1;34,05
2033-02-01 00:00:00.000;ALAGOAS;DIRETO;PEQUENO;CORPORATIVO;2.891,37;29;7;7;4,14;1;74,08
2033-02-01 00:00:00.000;ALAGOAS;DIRETO;PEQUENO;ENTRETENIMENTO;15.345,26;594;50;33;11,88;1,52;26,15
2033-02-01 00:00:00.000;ALAGOAS;DIRETO;PEQUENO;OUTROS;531,31;3;1;1;3;1;219,41
2033-02-01 00:00:00.000;ALAGOAS;MIDIA PAGA;GRANDE;ENTRETENIMENTO;55.041,34;217;3;2;72,33;1,5;269,95
2033-02-01 00:00:00.000;ALAGOAS;MIDIA PAGA;GRANDE;NÃO CLASSIFICADO;4.335,6;119;1;1;119;1;34,27
2033-02-01 00:00:00.000;ALAGOAS;MIDIA PAGA;PEQUENO;CORPORATIVO;5.171,47;46;10;8;4,6;1,25;98,54
2033-02-01 00:00:00.000;ALAGOAS;MIDIA PAGA;PEQUENO;ENTRETENIMENTO;34.362,15;1.378;55;36;25,05;1,53;24,91
2033-02-01 00:00:00.000;ALAGOAS;MIDIA PAGA;PEQUENO;ESPORTIVO;28,89;5;1;1;5;1;5,38
2033-02-01 00:00:00.000;ALAGOAS;MIDIA PAGA;PEQUENO;OUTROS;516,37;3;1;1;3;1;288,81
2033-02-01 00:00:00.000;ALAGOAS;MIDIA SOCIAL;GRANDE;ENTRETENIMENTO;22.170,83;81;3;2;27;1,5;285,89
2033-02-01 00:00:00.000;ALAGOAS;MIDIA SOCIAL;GRANDE;NÃO CLASSIFICADO;2.066,69;61;1;1;61;1;35,24
2033-02-01 00:00:00.000;ALAGOAS;MIDIA SOCIAL;PEQUENO;CORPORATIVO;2.569;22;8;6;2,75;1,33;93,9
2033-02-01 00:00:00.000;ALAGOAS;MIDIA SOCIAL;PEQUENO;ENTRETENIMENTO;14.218,09;593;52;34;11,4;1,53;23,73
